InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Date,Year,Month,Day,DayOfWeek,Hour,IsWeekend,TotalSales,InvoiceNo_encoded,StockCode_encoded,Description_encoded,CustomerID_encoded,Country_encoded,Date_encoded
536382,22838,3 TIER CAKE TIN RED AND CREAM,2,2010-12-01 09:45:00,14.95,16098.0,United Kingdom,2010-12-01,2010,12,1,2,9,0,29.9,1,1038,30,1100,27,0
536398,21844,RED RETROSPOT MUG,6,2010-12-01 10:52:00,2.95,13448.0,United Kingdom,2010-12-01,2010,12,1,2,10,0,17.700000000000003,4,431,1284,326,27,0
536592,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,2010-12-01 17:06:00,16.98,Unknown,United Kingdom,2010-12-01,2010,12,1,2,17,0,16.98,11,590,551,1705,27,0
536544,35095A,BLUE VICTORIAN FABRIC OVAL BOX,2,2010-12-01 14:32:00,0.84,Unknown,United Kingdom,2010-12-01,2010,12,1,2,14,0,1.68,6,1463,215,1705,27,0
536398,22111,SCOTTIE DOG HOT WATER BOTTLE,9,2010-12-01 10:52:00,4.95,13448.0,United Kingdom,2010-12-01,2010,12,1,2,10,0,44.550000000000004,4,555,1391,326,27,0
536592,22300,COFFEE MUG DOG + BALL DESIGN,2,2010-12-01 17:06:00,5.06,Unknown,United Kingdom,2010-12-01,2010,12,1,2,17,0,10.12,11,670,388,1705,27,0
536562,21777,RECIPE BOX WITH METAL HEART,2,2010-12-01 15:08:00,7.95,13468.0,United Kingdom,2010-12-01,2010,12,1,2,15,0,15.9,7,402,1244,331,27,0
536396,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 10:51:00,2.1,17850.0,United Kingdom,2010-12-01,2010,12,1,2,10,0,12.600000000000001,3,1574,1811,1601,27,0
536592,84832,ZINC WILLIE WINKIE  CANDLE STICK,1,2010-12-01 17:06:00,1.66,Unknown,United Kingdom,2010-12-01,2010,12,1,2,17,0,1.66,11,1671,1859,1705,27,0
536367,21754,HOME BUILDING BLOCK WORD,3,2010-12-01 08:34:00,5.95,13047.0,United Kingdom,2010-12-01,2010,12,1,2,8,0,17.85,0,393,774,213,27,0
536571,35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,48,2010-12-01 15:37:00,0.42,14696.0,United Kingdom,2010-12-01,2010,12,1,2,15,0,20.16,9,1479,1593,695,27,0
536394,22865,HAND WARMER OWL DESIGN,96,2010-12-01 10:39:00,1.85,13408.0,United Kingdom,2010-12-01,2010,12,1,2,10,0,177.60000000000002,2,1059,723,316,27,0
536588,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,12,2010-12-01 16:49:00,3.75,17069.0,United Kingdom,2010-12-01,2010,12,1,2,16,0,45.0,10,1714,1148,1367,27,0
536544,35610A,PINK CHRISTMAS FLOCK DROPLET ,1,2010-12-01 14:32:00,2.51,Unknown,United Kingdom,2010-12-01,2010,12,1,2,14,0,2.51,6,1468,1156,1705,27,0
536569,22767,TRIPLE PHOTO FRAME CORNICE ,1,2010-12-01 15:35:00,9.95,16274.0,United Kingdom,2010-12-01,2010,12,1,2,15,0,9.95,8,993,1693,1148,27,0
536544,20668,DISCO BALL CHRISTMAS DECORATION,2,2010-12-01 14:32:00,0.43,Unknown,United Kingdom,2010-12-01,2010,12,1,2,14,0,0.86,6,47,446,1705,27,0
536522,72800B, 4 PURPLE FLOCK DINNER CANDLES,2,2010-12-01 12:49:00,2.55,15012.0,United Kingdom,2010-12-01,2010,12,1,2,12,0,5.1,5,1555,0,784,27,0
536637,22654,DELUXE SEWING KIT ,1,2010-12-02 11:35:00,5.95,18041.0,United Kingdom,2010-12-02,2010,12,2,3,11,0,5.95,15,911,436,1643,27,1
C536760,22175,PINK OWL SOFT TOY,-1,2010-12-02 14:29:00,2.95,17547.0,United Kingdom,2010-12-02,2010,12,2,3,14,0,-2.95,3624,595,1174,1500,27,1
536790,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2010-12-02 15:26:00,2.55,17850.0,United Kingdom,2010-12-02,2010,12,2,3,15,0,15.299999999999999,21,1578,1807,1601,27,1
536639,22867,HAND WARMER BIRD DESIGN,12,2010-12-02 11:45:00,2.1,15111.0,United Kingdom,2010-12-02,2010,12,2,3,11,0,25.200000000000003,17,1061,722,816,27,1
536635,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2010-12-02 11:22:00,2.1,15955.0,United Kingdom,2010-12-02,2010,12,2,3,11,0,25.200000000000003,14,1614,1440,1055,27,1
